pin14,street_number,street_name,dir,type,sq_ft,ward,community_area,zoning_classification
20174060050000,5911,PEORIA,S,ST,3104,16,ENGLEWOOD,RS-3
20151130270000,5726,WABASH,S,AVE,4040,20,WASHINGTON PARK,RT-4
20082140050000,5015,RACINE,S,AVE,2996,16,NEW CITY,RS-3
20174040210000,5947,MORGAN,S,ST,3102,16,ENGLEWOOD,RS-3
20213220080000,7019,EMERALD,S,AVE,3119,6,ENGLEWOOD,RS-3
20171050240000,5524,THROOP,S,ST,3115,16,WEST ENGLEWOOD,RS-3
20292090050000,7209,MAY,S,ST,3118,17,ENGLEWOOD,RT-4
20221050450000,6610,MICHIGAN,S,AVE,3120,20,GREATER GRAND CROSSING,RS-3
20174040220000,5951,MORGAN,S,ST,1553,16,ENGLEWOOD,RS-3
20081280230000,5008,ADA,S,ST,3108,16,NEW CITY,RS-3
20191120300000,6418,HOYNE,S,AVE,3147,15,WEST ENGLEWOOD,RS-3
20093010400000,5150,UNION,S,AVE,3124,3,NEW CITY,RS-3
20162120140000,5710,LA SALLE,S,ST,3314,3,ENGLEWOOD,RS-3
20184190310000,6120,WOOD,S,ST,3104,15,WEST ENGLEWOOD,RS-3
20184040380000,5938,HERMITAGE,S,AVE,3108,15,WEST ENGLEWOOD,RS-3
20214080350000,6848,LAFAYETTE,S,AVE,4370,6,GREATER GRAND CROSSING,RS-3
20291260110000,1447,73RD,W,PL,3615,17,WEST ENGLEWOOD,RS-2
20072220300000,4944,MARSHFIELD,S,AVE,2964,16,NEW CITY,RS-3
20094170690000,5430,WELLS,S,ST,4172,3,FULLER PARK,RS-3
20292060020000,855,71ST,W,ST,3124,17,ENGLEWOOD,RT-4
20163090190000,605,60TH,W,ST,4358,20,ENGLEWOOD,RS-3
20171230240000,5759,ELIZABETH,S,ST,2898,16,WEST ENGLEWOOD,RS-3
20153040300000,5925,CALUMET,S,AVE,5933,20,WASHINGTON PARK,RM-5
20202010510000,6316,ABERDEEN,S,ST,1993,16,ENGLEWOOD,RS-3
20092180160000,5037,SHIELDS,S,AVE,2948,3,FULLER PARK,RS-3
20093020080000,5121,UNION,S,AVE,3126,3,NEW CITY,RS-3
20184110150000,6037,HONORE,S,ST,3103,15,WEST ENGLEWOOD,RS-3
20184140350000,1654,61ST,W,ST,3457,15,WEST ENGLEWOOD,RS-3
20172010080000,1101,GARFIELD,W,BLVD,4891,16,ENGLEWOOD,RT-4
20184220040000,6109,PAULINA,S,ST,3117,15,WEST ENGLEWOOD,RS-3
20173310050000,6217,THROOP,S,ST,3316,16,WEST ENGLEWOOD,RS-3
