pin14,street_number,dir,street_name,type,sq_ft,ward,community_area,zoning_classification,tif_district
20232130390000,6442,S,DORCHESTER,AVE,2710,20,WOODLAWN,RS-2,Woodlawn
20232130360000,6430,S,DORCHESTER,AVE,7274,20,WOODLAWN,RS-2,Woodlawn
20232030140000,6357,S,DORCHESTER,AVE,2685,20,WOODLAWN,PD 456,Woodlawn
20232030130000,6357,S,DORCHESTER,AVE,2262,20,WOODLAWN,PD 456,Woodlawn
20232030120000,6349,S,DORCHESTER,AVE,2491,20,WOODLAWN,PD 456,Woodlawn
20232030150000,6345,S,DORCHESTER,AVE,4379,20,WOODLAWN,C1-3,Woodlawn
20232030110000,6345,S,DORCHESTER,AVE,3127,20,WOODLAWN,PD 456,Woodlawn
20232030100000,6341,S,DORCHESTER,AVE,3424,20,WOODLAWN,PD 456,Woodlawn
20232030090000,6339,S,DORCHESTER,AVE,2288,20,WOODLAWN,PD 456,Woodlawn
20232030080000,6337,S,DORCHESTER,AVE,2410,20,WOODLAWN,PD 456,Woodlawn
20232030060000,6331,S,DORCHESTER,AVE,2537,20,WOODLAWN,PD 456,Woodlawn
20232030070000,6331,S,DORCHESTER,AVE,2625,20,WOODLAWN,PD 456,Woodlawn
20144100050000,6149,S,DORCHESTER,AVE,12515,20,WOODLAWN,RM-5,Woodlawn
20144120220000,1200,E,63RD,ST,7168,20,WOODLAWN,PD 723,Woodlawn
20143180160000,1160,E,63RD,ST,10515,20,WOODLAWN,PD 723,Woodlawn
20143180150000,1154,E,63RD,ST,7718,20,WOODLAWN,PD 723,Woodlawn
20143180130000,1148,E,63RD,ST,7841,20,WOODLAWN,PD 723,Woodlawn
20231070150000,1137,E,63RD,ST,16969,20,WOODLAWN,PD 723,Woodlawn
20143170300000,1134,E,63RD,ST,7781,20,WOODLAWN,PD 723,Woodlawn
20143170270000,1128,E,63RD,ST,8040,20,WOODLAWN,PD 723,Woodlawn
20231070140000,1127,E,63RD,ST,16820,20,WOODLAWN,PD 723,Woodlawn
20143170260000,1126,E,63RD,ST,2613,20,WOODLAWN,PD 723,Woodlawn
20143170250000,1122,E,63RD,ST,5451,20,WOODLAWN,PD 723,Woodlawn
20231070130000,1121,E,63RD,ST,8604,20,WOODLAWN,PD 723,Woodlawn
20231070120000,1117,E,63RD,ST,8605,20,WOODLAWN,PD 723,Woodlawn
20143170150000,1116,E,63RD,ST,7718,20,WOODLAWN,PD723/RM-5,Woodlawn
20143170320000,1106,E.,63RD,ST,6919,20,WOODLAWN,PD723/RM-5,Woodlawn
20143170310000,1106,E.,63RD,ST,8586,20,WOODLAWN,PD723/RM-5,Woodlawn
20231070010000,1101,E,63RD,ST,15380,20,WOODLAWN,PD 723,Woodlawn
20232040050000,,,,,1154,20,WOODLAWN,RM-5,Woodlawn
20143160290000,1028,E,63RD,ST,11301,20,WOODLAWN,PD 723,Woodlawn
20143160280000,1022,E,63RD,ST,5588,20,WOODLAWN,PD 723,Woodlawn
20231060010000,1017,E,63RD,ST,15667,20,WOODLAWN,PD 723,Woodlawn
20143160260000,1000,E,63RD,ST,22584,20,WOODLAWN,PD 723,Woodlawn
20232110150000,6525,S,WOODLAWN,AVE,3377,20,WOODLAWN,RS-2,Woodlawn
20231110140000,6464,S,WOODLAWN,AVE,4515,20,WOODLAWN,RM-5,Woodlawn
20143170170000,6212,S,UNIVERSITY,AVE,4527,20,WOODLAWN,RM-5,Woodlawn
20143180040000,6213,S,UNIVERSITY,AVE,9941,20,WOODLAWN,RM-5,Woodlawn
20143170190000,6220,S,UNIVERSITY,AVE,9056,20,WOODLAWN,RM-5,Woodlawn
20143170220000,6234,S,UNIVERSITY,AVE,8181,20,WOODLAWN,PD 723,Woodlawn
20143170230000,6234,S,UNIVERSITY,AVE,5774,20,WOODLAWN,PD 723,Woodlawn
20143170240000,6240,S,UNIVERSITY,AVE,5434,20,WOODLAWN,PD 723,Woodlawn
