pin14,city_owned,street_number,street_dir,street_name,street_type,zoning_classification,ward,residential,sq_ft,zip_code,alderman_hold
16131070250000,t,3115,W,MONROE,ST,RM-5,,t,1905,,
16133070060000,t,2845,W,FLOURNOY,ST,RT-4,,t,3126,,
16133070080000,t,2841,W,FLOURNOY,ST,RT-4,,t,3125,,
16133030390000,t,2812,W,FLOURNOY,ST,RT-4,,t,3117,,
16131070310000,t,3103,W,MONROE,ST,RM-5,,t,2541,,
16131040070000,t,2953,W,MONROE,ST,RT-4,,t,1479,,
16131040110000,t,2943,W,MONROE,ST,RT-4,,t,1114,,
16131040130000,t,2939,W,MONROE,ST,RT-4,,t,1071,,
16131030300000,t,2932,W,MONROE,ST,RT-4,,t,1255,,
16131090430000,t,2809,W,MONROE,ST,RT-4,,t,1133,,
16134120100000,t,2745,W,POLK,ST,RT-4,,t,3373,,
16141200090000,t,3611,W,FIFTH,AVE,RM-5/RS-3,,t,3863,,
16131040180000,t,2944,W,FIFTH,AVE,RT-4,,t,1293,,
16131040200000,t,2940,W,FIFTH,AVE,RT-4,,t,1544,,
16131160100000,t,2937,W,ADAMS,ST,RT-4,,t,2923,,
16142060430000,t,3330,W,ADAMS,ST,RM-5,,t,5568,,
16142060380000,t,3344,W,ADAMS,ST,RM-5,,t,4494,,
16131020330000,t,32,S,SACRAMENTO,BLVD,RT-4,,t,1622,,
16131040050000,t,33,S,SACRAMENTO,BLVD,RT-4,,t,1762,,
16133130240000,t,808,S,SACRAMENTO,AVE,RT-4,,t,3113,,
16114120490000,t,3246,W,MAYPOLE,AVE,RM-5,,t,3079,,
16114120510000,t,3240,W,MAYPOLE,AVE,RM-5,,t,2885,,
16114120520000,t,3236,W,MAYPOLE,AVE,RM-5,,t,2972,,
16133150260000,t,2844,W,ARTHINGTON,ST,RT-4,,t,2377,,
16133170010000,t,3059,W,ARTHINGTON,ST,RT-4,,t,6418,,
16133120410000,t,3108,W,ARTHINGTON,ST,RT-4,,t,3124,,
16133160240000,t,3111,W,ARTHINGTON,ST,RT-4,,t,3133,,
16131070070000,t,3153,W,MONROE,ST,RM-5,,t,3375,,
16123260430000,t,40,N,FRANCISCO,AVE,RT-4,,t,872,,
16131220230000,t,330,S,FRANCISCO,AVE,RT-4,,t,3185,,
16131230170000,t,329,S,FRANCISCO,AVE,RT-4,,t,3251,,
16131070090000,t,3149,W,MONROE,ST,RM-5,,t,2911,,
16131120110000,t,217,S,KEDZIE,AVE,RM-5,,t,11019,,
16133160010000,t,901,S,KEDZIE,AVE,RT-4,,t,4454,,
16131100080000,t,2945,W,WILCOX,ST,RT-4,,t,2983,,
16131160240000,t,2958,W,JACKSON,BLVD,RT-4,,t,3046,,
16131120150000,t,3148,W,JACKSON,BLVD,RM-5,,t,2683,,
16114050630000,t,3300,W,FULTON,,RT-4,,t,3570,,
16114080200000,t,3301,W,FULTON,ST,RT-4,,t,7200,,
16114040420000,t,3408,W,FULTON,BLVD,RT-4,,t,7446,,
16114040400000,t,3414,W,FULTON,BLVD,RT-4,,t,2982,,
16114070100000,t,3435,W,FULTON,ST,RT-4,,t,2679,,
16134040100000,t,2733,W,FLOURNOY,ST,RT-4,,t,4724,,
16134040130000,t,2725,W,FLOURNOY,ST,RT-4,,t,3151,,
16134040150000,t,2719,W,FLOURNOY,ST,RT-4,,t,3152,,
16134000180000,t,2716,W,FLOURNOY,ST,RT-4,,t,2660,,
16131030200000,t,2952,W,MONROE,ST,RT-4/C1-2,,t,1368,,
16131030280000,t,2936,W,MONROE,ST,RT-4/C1-2,,t,1455,,
16131030290000,t,2934,W,MONROE,ST,RT-4,,t,1527,,
16131080210000,t,2909,W,MONROE,ST,RT-4,,t,2819,,
16131090100000,t,2833,W,MONROE,ST,RT-4,,t,3101,,
16131090130000,t,2827,W,MONROE,ST,RT-4,,t,2420,,
16131090140000,t,2825,W,MONROE,ST,RT-4,,t,2320,,
16131090460000,t,2811,W,MONROE,ST,RT-4,,t,1170,,
16132000190000,t,2750,W,MONROE,ST,RT-4,,t,3000,,
16132010080000,t,2662,W,MONROE,ST,RM-5,,t,3891,,
16142150050000,t,3458,W,FIFTH,AVE,B3-3/RM-5,,t,2644,,
16131070280000,t,3060,W,FIFTH,AVE,RM-5,,t,1295,,
16131010170000,t,35,S,ALBANY,AVE,RT-4,,t,2061,,
16131010180000,t,37,S,ALBANY,AVE,RT-4,,t,2062,,
16131010210000,t,45,S,ALBANY,AVE,RT-4,,t,1882,,
16144080230000,t,747,S,CENTRAL PARK,AVE,RT-4,,t,7183,,
16144080010000,t,735,S,CENTRAL PARK,AVE,RT-4,,t,5908,,
16131150250000,t,120,S,SACRAMENTO,BLVD,RT-4,,t,3435,,
16131100020000,t,127,S,SACRAMENTO,BLVD,RT-4,,t,1477,,
16131020250000,t,16,S,SACRAMENTO,BLVD,RT-4,,t,1694,,
16131020270000,t,20,S,SACRAMENTO,BLVD,RT-4,,t,1695,,
16131020280000,t,22,S,SACRAMENTO,BLVD,RT-4,,t,1182,,
16133170080000,t,3039,W,ARTHINGTON,ST,RT-4,,t,3133,,
16133120390000,t,3112,W,ARTHINGTON,ST,RT-4,,t,3123,,
16133160200000,t,3121,W,ARTHINGTON,ST,RT-4,,t,3116,,
16133120330000,t,3128,W,ARTHINGTON,ST,RT-4,,t,3118,,
16133160160000,t,3131,W,ARTHINGTON,ST,RT-4,,t,3125,,
16144040010000,t,701,S,CENTRAL PARK,AV,RT-4,,t,4000,,
16144100100000,t,3323,W,LEXINGTON,ST,RT-4,,t,3791,,
16144080220000,t,3501,W,LEXINGTON,ST,RT-4,,t,6351,,
16142040110000,t,3531,W,MONROE,ST,RM-5,,t,3659,,
16142020300000,t,3344,W,MONROE,,RM-5,,t,4814,,
16142020340000,t,3334,W,MONROE,ST,RM-5,,t,4730,,
16142220020000,t,3321,W,GLADYS,AVE,RM-5,,t,2490,,
16132230050000,t,2743,W,GLADYS,AVE,RT-4,,t,3009,,
16132230080000,t,2733,W,GLADYS,AVE,RT-4,,t,2816,,
16132230100000,t,2723,W,GLADYS,AVE,RT-4,,t,8294,,
16132160430000,t,2710,W,GLADYS,AVE,RT-4,,t,2577,,
